category,states_name_en,region_en,unique_number,id_no,rev_bis,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger,date_end,danger_list,longitude,latitude,area_hectares,criteria_txt,category_short,iso_code,udnp_code,transboundary
Cultural,Bosnia and Herzegovina,Europe and North America,1437,1260,,Mehmed Paša Sokolović Bridge in Višegrad," The Mehmed Pa&scaron;a Sokolović Bridge of Vi&scaron;egrad across the Drina River in the east of Bosnia and Herzegovina was built at the end of the 16th century by the court architect Mimar Koca Sinan on the orders of Grand Vizier Mehmed Pa&scaron;a Sokolović. Characteristic of the apogee of Ottoman monumental architecture and civil engineering, the bridge has 11 masonry arches with spans of 11 m to 15 m, and an access ramp at right angles with four arches on the left bank of the river. The 179.5 m long bridge is a representative masterpiece of Sinan, one of the greatest architects and engineers of the classical Ottoman period and a contemporary of the Italian Renaissance, with which his work may be compared. The unique elegance of proportion and monumental nobility of the whole site bear witness to the greatness of this style of architecture. ",,2007,,0,,,19.288025,43.78144444,1.5,(ii)(iv),C,ba,bih,0
Cultural,Botswana,Africa,1191,1021,,Tsodilo," With one of the highest concentrations of rock art in the world, Tsodilo has been called the ''Louvre of the Desert''. Over 4,500 paintings are preserved in an area of only 10 km2 of the Kalahari Desert. The archaeological record of the area gives a chronological account of human activities and environmental changes over at least 100,000 years. Local communities in this hostile environment respect Tsodilo as a place of worship frequented by ancestral spirits. "," <strong>Criterion i:</strong> For many thousands of years the rocky outcrops of Tsodilo in the harsh landscape of the Kalahari Desert have been visited and settled by humans, who have left rich traces of their presence in the form of outstanding rock art. 
 <strong>Criterion iii:</strong> Tsodilo is a site that has witnessed visits and settlement by successive human communities for many millennia. 
 <strong>Criterion vi: </strong>The Tsodilo outcrops have immense symbolic and religious significance for the human communities who continue to survive in this hostile environment. ",2001,,0,,,21.73333333,-18.75,4800,(i)(iii)(vi),C,bw,bwa,0
Natural,Botswana,Africa,1976,1432,,Okavango Delta," This delta in north-west Botswana comprises permanent marshlands and seasonally flooded plains. It is one of the very few major interior delta systems that do not flow into a sea or ocean, with a wetland system that is almost intact. One of the unique characteristics of the site is that the annual flooding from the River Okavango occurs during the dry season, with the result that the native plants and animals have synchronized their biological cycles with these seasonal rains and floods. It is an exceptional example of the interaction between climatic, hydrological and biological processes. The Okavango Delta is home to some of the world&rsquo;s most endangered species of large mammal, such as the cheetah, white rhinoceros, black rhinoceros, African wild dog and lion. ",,2014,,0,,,22.9,-19.28333333,2023590,(vii)(ix)(x),N,bw,bwa,0
Cultural,Brazil,Latin America and the Caribbean,136,124,,Historic Town of Ouro Preto," Founded at the end of the 17th century, Ouro Preto (Black Gold) was the focal point of the gold rush and Brazil&rsquo;s golden age in the 18th century. With the exhaustion of the gold mines in the 19th century, the city&rsquo;s influence declined but many churches, bridges and fountains remain as a testimony to its past prosperity and the exceptional talent of the Baroque sculptor Aleijadinho. ",,1980,,0,,,-43.50555556,-20.38888889,0,(i)(iii),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,210,189,,Historic Centre of the Town of Olinda," Founded in the 16th century by the Portuguese, the town&rsquo;s history is linked to the sugar-cane industry. Rebuilt after being looted by the Dutch, its basic urban fabric dates from the 18th century. The harmonious balance between the buildings, gardens, 20 Baroque churches, convents and numerous small passos (chapels) all contribute to Olinda&rsquo;s particular charm. ",,1982,,0,,,-34.845,-8.013333333,120,(ii)(iv),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,348,309,,Historic Centre of Salvador de Bahia," As the first capital of Brazil, from 1549 to 1763, Salvador de Bahia witnessed the blending of European, African and Amerindian cultures. It was also, from 1558, the first slave market in the New World, with slaves arriving to work on the sugar plantations. The city has managed to preserve many outstanding Renaissance buildings. A special feature of the old town are the brightly coloured houses, often decorated with fine stucco-work. ",,1985,,0,,,-38.5,-12.96666667,0,(iv)(vi),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,380,334,,Sanctuary of Bom Jesus do Congonhas," This sanctuary in Minais Gerais, south of Belo Horizonte was built in the second half of the 18th century. It consists of a church with a magnificent Rococo interior of Italian inspiration; an outdoor stairway decorated with statues of the prophets; and seven chapels illustrating the Stations of the Cross, in which the polychrome sculptures by Aleijadinho are masterpieces of a highly original, moving, expressive form of Baroque art. ",,1985,,0,,,-43.85777778,-20.49972222,2.19,(i)(iv),C,br,bra,0
Natural,Brazil,Latin America and the Caribbean,408,355,,Iguaçu National Park," The park shares with Iguazú National Park in Argentina one of the world’s largest and most impressive waterfalls, extending over some 2,700 m. It is home to many rare and endangered species of flora and fauna, among them the giant otter and the giant anteater. The clouds of spray produced by the waterfall are conducive to the growth of lush vegetation. ",,1986,,0,2001,P 1999-2001,-54.43333,-25.68333,169695.88,(vii)(x),N,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,516,445,,Brasilia," Brasilia, a capital created <em>ex nihilo</em> in the centre of the country in 1956, was a landmark in the history of town planning. Urban planner Lucio Costa and architect Oscar Niemeyer intended that every element – from the layout of the residential and administrative districts (often compared to the shape of a bird in flight) to the symmetry of the buildings themselves – should be in harmony with the city’s overall design. The official buildings, in particular, are innovative and imaginative. ",,1987,,0,,,-47.9,-15.78333,11268.92,(i)(iv),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,719,606,,Serra da Capivara National Park," Many of the numerous rock shelters in the Serra da Capivara National Park are decorated with cave paintings, some more than 25,000 years old. They are an outstanding testimony to one of the oldest human communities of South America. ",,1991,,0,,,-42.33333333,-8.416666667,0,(iii),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,970,821,,Historic Centre of São Luís," The late 17th-century core of this historic town, founded by the French and occupied by the Dutch before coming under Portuguese rule, has preserved the original rectangular street plan in its entirety. Thanks to a period of economic stagnation in the early 20th century, an exceptional number of fine historic buildings have survived, making this an outstanding example of an Iberian colonial town. "," The Committee decided to inscribe this property on the basis of criteria (iii), (iv) and (v), considering that the Historic Centre of S&atilde;o Luis do Maranh&atilde;o is an outstanding example of a Portuguese colonial town that adapted successfully to the climatic conditions in equatorial South America and which has preserved its urban fabric, harmoniously integrated with its natural setting, to an exceptional degree. ",1997,,0,,,-44.3025,-2.514166667,66.65,(iii)(iv)(v),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,1042,890,,Historic Centre of the Town of Diamantina," Diamantina, a colonial village set like a jewel in a necklace of inhospitable rocky mountains, recalls the exploits of diamond prospectors in the 18th century and testifies to the triumph of human cultural and artistic endeavour over the environment. "," Criterion (ii) Diamantina shows how explorers of the Brazilian territory, diamond prospectors, and representatives of the Crown were able to adapt European models to an American context in the 18th century, thus creating a culture that was faithful to its roots yet completely original. Criterion (iv) The urban and architectural group of Diamantina, perfectly integrated into a wild landscape, is a fine example of an adventurous spirit combined with a quest for refinement so typical of human nature. ",1999,,0,,,-43.6,-18.23333333,28.5,(ii)(iv),C,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1044,892,Rev,Discovery Coast Atlantic Forest Reserves," The Discovery Coast Atlantic Forest Reserves, in the states of Bahia and Esp&iacute;rito Santo, consist of eight separate protected areas containing 112,000 ha of Atlantic forest and associated shrub (<em>restingas</em>). The rainforests of Brazil&rsquo;s Atlantic coast are the world&rsquo;s richest in terms of biodiversity. The site contains a distinct range of species with a high level of endemism and reveals a pattern of evolution that is not only of great scientific interest but is also of importance for conservation. "," <em>Criterion (ix):</em> The Brazilian Discovery Coast includes a number of areas containing the best and largest remaining examples of Atlantic forest in the northeast region of Brazil and contains high numbers of rare and endemic species. 
 <em>Criterion (x):</em> The site displays the biological richness and evolutionary history of the few remaining areas of Atlantic forest of northeast Brazil. The site reveals a pattern of evolution of great interest to science and importance for conservation. The fact that only these few scattered remnants of a once vast forest remain, make them an irreplaceable part of the world&rsquo;s forest heritage. ",1999,,0,,,-39.25,-16.5,111930,(ix)(x),N,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1045,893,-894 Rev,Atlantic Forest South-East Reserves," The Atlantic Forest South-East Reserves, in the states of Paran&aacute; and S&atilde;o Paulo, contain some of the best and most extensive examples of Atlantic forest in Brazil. The 25 protected areas that make up the site (some 470,000 ha in total) display the biological wealth and evolutionary history of the last remaining Atlantic forests. From mountains covered by dense forests, down to wetlands, coastal islands with isolated mountains and dunes, the area comprises a rich natural environment of great scenic beauty. "," The Atlantic Forests (Southeast) contain the best and largest remaining examples of Atlantic forest in the southeast region of Brazil. The 25 protected areas that make up the site display the biological richness and evolutionary history of the few remaining areas of Atlantic forest of southeast Brazil. The area is also exceptionally diverse with high numbers of rare and endemic species. With its &ldquo;mountains to the sea&rdquo; attitudinal gradient, its estuary, wild rivers, karst and numerous waterfalls, the site also has exceptional scenic values. ",1999,,0,,,-48,-24.16667,468193,(vii)(ix)(x),N,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,1157,993,Rev,Historic Centre of the Town of Goiás," Goiás testifies to the occupation and colonization of the lands of central Brazil in the 18th and 19th centuries. The urban layout is an example of the organic development of a mining town, adapted to the conditions of the site. Although modest, both public and private architecture form a harmonious whole, thanks to the coherent use of local materials and vernacular techniques. "," <em>Criterion ii:</em> In its layout and architecture the historic town of Goiás is an outstanding example of a European town admirably adapted to the climatic, geographical and cultural constraints of central South America. 
 <em>Criterion iv:</em> Goiás represents the evolution of a form of urban structure and architecture characteristic of the colonial settlement of South America, making full use of local materials and techniques and conserving its exceptional setting. ",2001,,0,,,-50.13336,-15.93328,40.3,(ii)(iv),C,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1163,998,Bis,Central Amazon Conservation Complex," The Central Amazon Conservation Complex makes up the largest protected area in the Amazon Basin (over 6 million hectares) and is one of the planet&rsquo;s richest regions in terms of biodiversity. It also includes an important sample of varzea ecosystems, igap&oacute; forests, lakes and channels which take the form of a constantly evolving aquatic mosaic that is home to the largest array of electric fish in the world. The site protects key threatened species, including giant arapaima fish, the Amazonian manatee, the black caiman and two species of river dolphin. "," <em>Criterion (ix):</em> The varzea and igap&oacute; forests, lakes, rivers, and islands of the proposed site together constitute physical and biological formations and demonstrate ongoing ecological processes in the development of terrestrial and freshwater ecosystems. They include a constantly changing and evolving mosaic of river channels, lakes, and landforms. The floating (and constantly moving and changing) mats of vegetation typical of the varzea watercourses include a significant number of endemic species, including the largest array of electric fishes in the world. Anavilhanas contains the second largest archipelago of river islands in the Brazilian Amazon. 
 <em>Criterion (x):</em> The expanded property substantially increases the already impressive protection offered by Ja&uacute; National Park to the biological diversity, habitats, and endangered species found in the Central Amazon region. The area is one of the Endemic Bird Areas of the World, is considered as one of the World Wildlife Fund&rsquo;s 200 Priority Ecoregion for Conservation, and it is also a Centre of Plant Diversity. The expansion of Ja&uacute; National Park to include an important sample of Varzea ecosystems, igap&oacute; forests, lakes and channels significantly increases the representation of the aquatic biodiversity of the Central Amazon region. Expansion of the site also enhance the protection of key threatened species including giant arapaima fish, the Amazonian manatee, the black caiman, and two species of river dolphin. ",2000,2003,0,,,-62.00833333,-2.333333333,5323018,(ix)(x),N,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1164,999,,Pantanal Conservation Area," The Pantanal Conservation Area consists of a cluster of four protected areas with a total area of 187,818 ha. Located in western central Brazil at the south-west corner of the State of Mato Grosso, the site represents 1.3% of Brazil's Pantanal region, one of the world's largest freshwater wetland ecosystems. The headwaters of the region's two major river systems, the Cuiabá and the Paraguay rivers, are located here, and the abundance and diversity of its vegetation and animal life are spectacular. "," <em>Criteria (vii), (ix) and (x):</em> The site is representative of the Greater Pantanal region. It demonstrates the on-going ecological and biological processes that occur in the Pantanal. The association of the Amolar Mountains with the dominant freshwater wetland ecosystems confers to the site a uniquely important ecological gradient as well as a dramatic landscape. 
 The site plays a key role in the dispersion of nutrients to the entire basin and is the most important reserve for maintaining fish stocks in the Pantanal. The area preserves habitats representative of the Pantanal that contain a number of globally threatened species. The area is a refuge for fauna as it is the only area of the Pantanal that remains partially inundated during the dry season. ",2000,,0,,,-57.38333,-17.71667,187818,(vii)(ix)(x),N,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1166,1000,Rev,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves," Peaks of the Southern Atlantic submarine ridge form the Fernando de Noronha Archipelago and Rocas Atoll off the coast of Brazil. They represent a large proportion of the island surface of the South Atlantic and their rich waters are extremely important for the breeding and feeding of tuna, shark, turtle and marine mammals. The islands are home to the largest concentration of tropical seabirds in the Western Atlantic. Baia de Golfinhos has an exceptional population of resident dolphin and at low tide the Rocas Atoll provides a spectacular seascape of lagoons and tidal pools teeming with fish. "," <em>Criterion (ix):</em> FNNMP/AdRBR represents over half the insular coastal waters of the Southern Atlantic Ocean. These highly productive waters provide feeding ground for species such as tuna, billfish, cetaceans, sharks, and marine turtles as they migrate to the Eastern Atlantic coast of Africa. An oasis of marine life in relatively barren, open ocean, the islands play a key role in the process of reproduction, dispersal and colonisation by marine organisms in the entire Tropical South Atlantic. 
 <em>Criterion (vii)</em>: Ba&iacute;a dos Golfinhos is the only know place in the world with such a high population of resident dolphins and Atoll das Rocas demonstrates a spectacular seascape at low tide when the exposed reef surrounding shallow lagoons and tidal pools forms a natural aquarium. Both sites have also exceptional submarine landscapes that have been recognised worldwide by a number of specialised diving literatures. 
 <em>Criterion (x):</em> FNNMP/AdRBR is a key site for the protection of biodiversity and endangered species in the Southern Atlantic. Providing a large proportion of the insular habitat of the South Atlantic, the site is a repository for the maintenance of marine biodiversity at the ocean basin level. It is important for the conservation of endangered and threatened species of marine turtles, particularly the hawksbill turtle. The site accommodates the largest concentration of tropical seabirds to be found in the Western Atlantic Ocean, and is a Global Centre of Bird Endemism. The site also contains the only remaining sample of the Insular Atlantic Forest and the only oceanic mangrove in the South Atlantic region. ",2001,,0,,,-32.42511111,-3.857944444,42270,(vii)(ix)(x),N,br,bra,0
Natural,Brazil,Latin America and the Caribbean,1208,1035,,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks," The two sites included in the designation contain flora and fauna and key habitats that characterize the Cerrado – one of the world’s oldest and most diverse tropical ecosystems. For millennia, these sites have served as refuge for several species during periods of climate change and will be vital for maintaining the biodiversity of the Cerrado region during future climate fluctuations. "," <em>Criterion (ix)</em>: CPA has played a key role for millenia in maintaining the biodiversity of the Cerrado Ecoregion. Due it its central location and altidudinal variation, it has acted as a relatively stable species refuge when climate change has caused the Cerrado to move north-south or east-west. This role as a species refuge is ongoing as Earth enters another period of climate change. 
 <em>Criterion (x):</em> CAS contains samples of all key habitats that characterise the Cerrado ecoregion – one of Earth’s oldest tropical ecosystems. It contains over 60% of all floral species and almost 80% of all vertebrate species described for the Cerrado. With the exception of the Giant Otter, all of the Cerrado’s endangered large mammals occur in the site. In addition, the site supports many rare small mammals and bird species that do not occur elsewhere in the Cerrado and a number of species new to science have been discovered in CPA. ",2001,,0,,,-47.68461111,-14.00569444,367356,(ix)(x),N,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,1843,1100,Rev,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea," The site consists of an exceptional urban setting encompassing the key natural elements that have shaped and inspired the development of the city: from the highest points of the Tijuca National Park&rsquo;s mountains down to the sea. They also include the Botanical Gardens, established in 1808, Corcovado Mountain with its celebrated statue of Christ, and the hills around Guanabara Bay, including the extensive designed landscapes along Copacabana Bay which have contributed to the outdoor living culture of this spectacular city. Rio de Janeiro is also recognized for the artistic inspiration it has provided to musicians, landscapers and urbanists. ",,2012,,0,,,-43.29138889,-22.94777778,7248.78,(v)(vi),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,1725,1272,Rev,São Francisco Square in the Town of São Cristóvão," S&atilde;o Francisco Square, in the town of S&atilde;o Cristov&atilde;o, is a quadrilateral open space surrounded by substantial early buildings such as S&atilde;o Francisco Church and convent, the Church and Santa Casa da Miseric&oacute;rdia, the Provincial Palace and the associated houses of different historical periods surrounding the Square. This monumental ensemble, together with the surrounding 18th- and 19th- century houses, creates an urban landscape which reflects the history of the town since its origin. The Franciscan complex is an example of the typical architecture of the religious order developed in north-eastern Brazil. ",,2010,,0,,,-37.21,-11.01611111,3,(ii)(iv),C,br,bra,0
Mixed,Brazil,Latin America and the Caribbean,2264,1308,,Paraty and Ilha Grande – Culture and Biodiversity,"Located between the Serra da Bocaina mountain range and the Atlantic Ocean, this cultural landscape includes the historic centre of Paraty, one of Brazil's best-preserved coastal towns, as well as four protected natural areas of the Brazilian Atlantic Forest, one of the world’s five key biodiversity hotspots. Paraty is home to an impressive diversity of species, some of which are threatened, such as the jaguar (<em>Panthera onca</em>), the white-lipped peccary (<em>Tayassu pecari</em>) and several primate species, including the woolly spider monkey (<em>Brachyteles arachnoides</em>), which are emblematic of the site. In the late 17<sup>th</sup>century, Paraty was the end-point of the Caminho do Ouro (Gold Route), along which gold was shipped to Europe. Its port also served as an entry point for tools and African slaves, sent to work in the mines. A defence system was built to protect the wealth of the port and the town.  The historic centre of Paraty has retained its 18<sup>th</sup> century plan and much of its colonial architecture dating from the 18<sup>th</sup> and early 19<sup>th</sup> centuries.",,2019,,0,,,-44.68536944,-23.01860556,204634,(v)(x),M,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,2077,1493,,Pampulha Modern Ensemble," The Pampulha Modern Ensemble was the centre of a visionary garden city project created in 1940 at Belo Horizonte, the capital of Minas Gerais State. Designed around an artificial lake, this cultural and leisure centre included a casino, a ballroom, the Golf Yacht Club and the São Francisco de Assis church. The buildings were designed by architect Oscar Niemeyer, in collaboration with innovative artists. The Ensemble comprises bold forms that exploit the plastic potential of concrete, while fusing architecture, landscape design, sculpture and painting into a harmonious whole. It reflects the influence of local traditions, the Brazilian climate and natural surroundings on the principles of modern architecture. ",,2016,,0,,,-43.97361111,-19.85194444,154,(i)(ii)(iv),C,br,bra,0
Cultural,Brazil,Latin America and the Caribbean,2173,1548,,Valongo Wharf Archaeological Site," Valongo Wharf Archaeological Site is located in central Rio de Janeiro and encompasses the entirety of Jornal do Comércio Square. It is in the former harbour area of Rio de Janeiro in which the old stone wharf was built for the landing of enslaved Africans reaching the South American continent from 1811 onwards. An estimated 900,000 Africans arrived in South America via Valongo. The site is composed of several archaeological layers, the lowest of which consists of floor pavings in <em>pé de moleque</em> style, attributed to the original Valongo Wharf. It is the most important physical trace of the arrival of African slaves on the American continent. ",,2017,,0,,,-43.18739444,-22.89711111,0.3895,(vi),C,br,bra,0
Cultural,Bulgaria,Europe and North America,46,42,,Boyana Church," Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art. ",,1979,,0,,,23.26666667,42.65,0.68,(ii)(iii),C,bg,bgr,0
Cultural,Bulgaria,Europe and North America,47,43,,Madara Rider," The Madara Rider, representing the figure of a knight triumphing over a lion, is carved into a 100-m-high cliff near the village of Madara in north-east Bulgaria. Madara was the principal sacred place of the First Bulgarian Empire before Bulgaria&rsquo;s conversion to Christianity in the 9th century. The inscriptions beside the sculpture tell of events that occurred between AD 705 and 801. ",,1979,,0,,,27.15,43.3,1.2,(i)(iii),C,bg,bgr,0
Cultural,Bulgaria,Europe and North America,48,44,,Thracian Tomb of Kazanlak," Discovered in 1944, this tomb dates from the Hellenistic period, around the end of the 4th century BC. It is located near Seutopolis, the capital city of the Thracian king Seutes III, and is part of a large Thracian necropolis. The tholos has a narrow corridor and a round burial chamber, both decorated with murals representing Thracian burial rituals and culture. These paintings are Bulgaria&rsquo;s best-preserved artistic masterpieces from the Hellenistic period. ",,1979,,0,,,25.4,42.61666667,0.0155,(i)(iii)(iv),C,bg,bgr,0
Cultural,Bulgaria,Europe and North America,49,45,,Rock-Hewn Churches of Ivanovo," In the valley of the Roussenski Lom River, in north east Bulgaria, a complex of rock-hewn churches, chapels, monasteries and cells developed in the vicinity of the village of Ivanovo. This is where the first hermits had dug out their cells and churches during the 12th century. The 14th-century murals testify to the exceptional skill of the artists belonging to the Tarnovo School of painting. ",,1979,,0,,,25.96666667,43.71666667,171.9,(ii)(iii),C,bg,bgr,0
Cultural,Bulgaria,Europe and North America,239,216,,Rila Monastery," Rila Monastery was founded in the 10th century by St John of Rila, a hermit canonized by the Orthodox Church. His ascetic dwelling and tomb became a holy site and were transformed into a monastic complex which played an important role in the spiritual and social life of medieval Bulgaria. Destroyed by fire at the beginning of the 19th century, the complex was rebuilt between 1834 and 1862. A characteristic example of the Bulgarian Renaissance (18th&ndash;19th centuries), the monument symbolizes the awareness of a Slavic cultural identity following centuries of occupation. ",,1983,,0,,,23.4,42.11666667,10.7,(vi),C,bg,bgr,0
Cultural,Bulgaria,Europe and North America,240,217,,Ancient City of Nessebar," Situated on a rocky peninsula on the Black Sea, the more than 3,000-year-old site of Nessebar was originally a Thracian settlement (Menebria). At the beginning of the 6th century BC, the city became a Greek colony. The city&rsquo;s remains, which date mostly from the Hellenistic period, include the acropolis, a temple of Apollo, an agora and a wall from the Thracian fortifications. Among other monuments, the Stara Mitropolia Basilica and the fortress date from the Middle Ages, when this was one of the most important Byzantine towns on the west coast of the Black Sea. Wooden houses built in the 19th century are typical of the Black Sea architecture of the period. ",,1983,,0,,,27.73,42.65611,27.1,(iii)(iv),C,bg,bgr,0
Natural,Bulgaria,Europe and North America,1621,219,Bis,Srebarna Nature Reserve," The Srebarna Nature Reserve is a freshwater lake adjacent to the Danube and extending over 600 ha. It is the breeding ground of almost 100 species of birds, many of which are rare or endangered. Some 80 other bird species migrate and seek refuge there every winter. Among the most interesting bird species are the Dalmatian pelican, great egret, night heron, purple heron, glossy ibis and white spoonbill. ",,1983,,0,2003,P 1992-2003,27.07806,44.11444,638,(x),N,bg,bgr,0
Natural,Bulgaria,Europe and North America,1641,225,Bis,Pirin National Park," Spread over an area of over 27,000 ha, at an altitude between 1008 and 2914 m in the Pirin Mountains, southwest Bulgaria, the site comprises diverse limestone mountain landscapes with glacial lakes, waterfalls, caves and predominantly coniferous forests. It was added to the World Heritage List in 1983. The extension now covers an area of around 40,000 ha in the Pirin Mountains, and overlaps with the Pirin National Park, except for two areas developed for tourism (skiing). The dominant part of the extension is high mountain territory over 2000m in altitude, and covered mostly by alpine meadows, rocky screes and summits. ",,1983,2010,0,,,23.43047222,41.74272222,38350.04,(vii)(viii)(ix),N,bg,bgr,0
Cultural,Bulgaria,Europe and North America,412,359,,Thracian Tomb of Sveshtari," Discovered in 1982 near the village of Sveshtari, this 3rd-century BC Thracian tomb reflects the fundamental structural principles of Thracian cult buildings. The tomb has a unique architectural decor, with polychrome half-human, half-plant caryatids and painted murals. The 10 female figures carved in high relief on the walls of the central chamber and the decoration of the lunette in its vault are the only examples of this type found so far in the Thracian lands. It is a remarkable reminder of the culture of the Getes, a Thracian people who were in contact with the Hellenistic and Hyperborean worlds, according to ancient geographers. ",,1985,,0,,,26.66667,43.66667,647.6,(i)(iii),C,bg,bgr,0
Cultural,Burkina Faso,Africa,1696,1225,Rev,Ruins of Loropéni," The 11,130m2 property, the first to be inscribed in the country, with its imposing stone walls is the best preserved of ten fortresses in the Lobi area and is part of a larger group of 100 stone enclosures that bear testimony to the power of the trans-Saharan gold trade. Situated near the borders of C&ocirc;te d&rsquo;Ivoire, Ghana and Togo, the ruins have recently been shown to be at least 1,000 years old. The settlement was occupied by the Lohron or Koulango peoples, who controlled the extraction and transformation of gold in the region when it reached its apogee from the 14th to the 17th century. Much mystery surrounds this site large parts of which have yet to be excavated. The settlement seems to have been abandoned during some periods during its long history. The property which was finally deserted in the early 19th century is expected to yield much more information. ",,2009,,0,,,-3.583333333,10.25,1.113,(iii),C,bf,bfa,0
Cultural,Burkina Faso,Africa,2290,1602,,Ancient ferrous metallurgy sites of Burkina Faso,"This property is composed of five elements located in different provinces of the country. It includes about fifteen standing, natural-draught furnaces, several other furnace structures, mines and traces of dwellings. Douroula, which dates back to the 8th century BCE, is the oldest evidence of the development of iron production found in Burkina Faso. The other components of the property - Tiwêga, Yamané, Kindibo and Békuy - illustrate the intensification of iron production during the second millennium CE. Even though iron ore reduction - obtaining iron from ore - is no longer practiced today, village blacksmiths still play a major role in supplying tools, while taking part in various rituals.",,2019,,0,,,-3.328986111,12.58775833,122.3,(iii)(iv)(vi),C,bf,bfa,0
Cultural,Cabo Verde,Africa,1600,1310,,"Cidade Velha, Historic Centre of Ribeira Grande"," The town of Ribeira Grande, renamed Cidade Velha in the late 18th century, was the first European colonial outpost in the tropics. Located in the south of the island of Santiago, the town features some of the original street layout impressive remains including two churches, a royal fortress and Pillory Square with its ornate 16th century marble pillar. ",,2009,,0,,,-23.60519444,14.91513889,209.1,(ii)(iii)(vi),C,cv,cpv,0
Cultural,Cambodia,Asia and the Pacific,791,668,,Angkor," Angkor is one of the most important archaeological sites in South-East Asia. Stretching over some 400 km2, including forested area, Angkor Archaeological Park contains the magnificent remains of the different capitals of the Khmer Empire, from the 9th to the 15th century. They include the famous Temple of Angkor Wat and, at Angkor Thom, the Bayon Temple with its countless sculptural decorations. UNESCO has set up a wide-ranging programme to safeguard this symbolic site and its surroundings. ",,1992,,0,2004,P 1992-2004,103.8333333,13.43333333,40100,(i)(ii)(iii)(iv),C,kh,khm,0
Cultural,Cambodia,Asia and the Pacific,1591,1224,Rev,Temple of Preah Vihear," Situated on the edge of a plateau that dominates the plain of Cambodia, the Temple of Preah Vihear is dedicated to Shiva. The Temple is composed of a series of sanctuaries linked by a system of pavements and staircases over an 800 metre long axis and dates back to the first half of the 11th century AD. Nevertheless, its complex history can be traced to the 9th century, when the hermitage was founded. This site is particularly well preserved, mainly due to its remote location. The site is exceptional for the quality of its architecture, which is adapted to the natural environment and the religious function of the temple, as well as for the exceptional quality of its carved stone ornamentation. ",,2008,,0,,,104.6838889,14.38833333,154.7,(i),C,kh,khm,0
Cultural,Cambodia,Asia and the Pacific,2140,1532,,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura"," The archaeological site of Sambor Prei Kuk, “the temple in the richness of the forest” in the Khmer language, has been identified as Ishanapura, the capital of the Chenla Empire that flourished in the late 6th and early 7th centuries AD. The property comprises more than a hundred temples, ten of which are octagonal, unique specimens of their genre in South-East Asia. Decorated sandstone elements in the site are characteristic of the pre-Angkor decorative idiom, known as the Sambor Prei Kuk Style. Some of these elements, including lintels, pediments and colonnades, are true masterpieces. The art and architecture developed here became models for other parts of the region and lay the ground for the unique Khmer style of the Angkor period. ",,2017,,0,,,105.0430556,12.8725,840.03,(ii)(iii)(vi),C,kh,khm,0
Natural,Cameroon,Africa,470,407,,Dja Faunal Reserve," This is one of the largest and best-protected rainforests in Africa, with 90% of its area left undisturbed. Almost completely surrounded by the Dja River, which forms a natural boundary, the reserve is especially noted for its biodiversity and a wide variety of primates. It contains 107 mammal species, five of which are threatened. ",,1987,,0,,,13,3,526000,(ix)(x),N,cm,cmr,0
Cultural,Canada,Europe and North America,2248,4,,L’Anse aux Meadows National Historic Site," At the tip of the Great Northern Peninsula of the island of Newfoundland, the remains of an 11th-century Viking settlement are evidence of the first European presence in North America. The excavated remains of wood-framed peat-turf buildings are similar to those found in Norse Greenland and Iceland. ",,1978,,0,,,-55.61666667,51.46666667,7991,(vi),C,ca,can,0
Natural,Canada,Europe and North America,27,24,,Nahanni National Park," Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment. ",,1978,,0,,,-125.5894444,61.54722222,476560,(vii)(viii),N,ca,can,0
